Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
Mary MacKillop Place,775.0,2024-05-21,2024-05-22,3.5,3 km da praia
Crystalbrook Albion,993.0,2024-05-21,2024-05-22,1.4,None
Adina Apartment Hotel Sydney Surry Hills,1.037,2024-05-21,2024-05-22,1.6,None
Studio 8 Residences - Adults Only,571.0,2024-05-21,2024-05-22,11.4,None
Glasgow Arms Hotel Ultimo,578.0,2024-05-21,2024-05-22,1.3,None
Zara Tower – Luxury Suites and Apartments,1.294,2024-05-21,2024-05-22,1,None
Wildlife Retreat at Taronga,1.714,2024-05-21,2024-05-22,4.4,300
Kingsgrove Hotel,517.0,2024-05-21,2024-05-22,12.6,None
Edgecliff Lodge Motel,485.0,2024-05-21,2024-05-22,2.3,2.2 km da praia
Nesuto Woolloomooloo,749.0,2024-05-21,2024-05-22,1.2,2.9 km da praia
Rydges Camperdown,915.0,2024-05-21,2024-05-22,3.3,None
1 Private Double Bed With En-Suite Bathroom In Sydney CBD Near Train UTS DarlingHar&ICC&C hinatown - ROOM ONLY,487.0,2024-05-21,2024-05-22,1.5,None
The General Gordon,677.0,2024-05-21,2024-05-22,6.4,None
InterContinental Sydney Double Bay an IHG Hotel,1.476,2024-05-21,2024-05-22,3.2,1.5 km da praia
Darcy's Hotel,476.0,2024-05-21,2024-05-22,11.3,None
Native Rose Hotel,547.0,2024-05-21,2024-05-22,3.4,None
Hotel Indigo Sydney Potts Point an IHG Hotel,1.136,2024-05-21,2024-05-22,1.4,3 km da praia
Burwood Studio,408.0,2024-05-21,2024-05-22,9.6,None
Sydney Backpackers,129.0,2024-05-21,2024-05-22,0.6,None
Nesuto Chippendale,604.0,2024-05-21,2024-05-22,2.2,None
Coogee Beach House,190.0,2024-05-21,2024-05-22,7,Beira-mar
Panoramic views in luxurious brand new apartment,609.0,2024-05-21,2024-05-22,8.1,None
Garden Lodge Sydney Hotel,487.0,2024-05-21,2024-05-22,6.4,None
Mantra on Kent,1.255,2024-05-21,2024-05-22,400 m do centro,None
Adina Apartment Hotel Chippendale,1.051,2024-05-21,2024-05-22,2.4,None
The Blue Hotel Bondi,673.0,2024-05-21,2024-05-22,6,600
SKYE Suites Sydney,1.622,2024-05-21,2024-05-22,450 m do centro,None
Royal Hotel Randwick,612.0,2024-05-21,2024-05-22,6.1,1.5 km da praia
Novotel Sydney Brighton Beach,1.051,2024-05-21,2024-05-22,11.1,Beira-mar
Stay at Hotel Steyne,527.0,2024-05-21,2024-05-22,10.9,Beira-mar
QT Bondi,1.003,2024-05-21,2024-05-22,6.5,300
The Sebel Sydney Manly Beach,1.085,2024-05-21,2024-05-22,10.9,Beira-mar
Westside Motor Inn,476.0,2024-05-21,2024-05-22,7.3,None
The Lurline Randwick,905.0,2024-05-21,2024-05-22,6,1.5 km da praia
Quest at Sydney Olympic Park,1.02,2024-05-21,2024-05-22,13.8,None
Avoca Randwick by Sydney Lodges,718.0,2024-05-21,2024-05-22,6.2,1.5 km da praia
Trademark Hostel Sydney,109.0,2024-05-21,2024-05-22,1.3,None
Shangri-La Sydney,1.173,2024-05-21,2024-05-22,1,None
Meriton Suites George Street Parramatta,935.0,2024-05-21,2024-05-22,19.4,None
Capella Sydney,3.196,2024-05-21,2024-05-22,0.8,None
Oaks Sydney North Ryde Suites,521.0,2024-05-21,2024-05-22,10.3,None
Twin Towers Inn,609.0,2024-05-21,2024-05-22,6.2,None
Adina Apartment Hotel Coogee Sydney,805.0,2024-05-21,2024-05-22,6.9,350
2 Private Double Bed In Sydney CBD Near Train UTS DarlingHar&ICC&C hinatown - ROOM ONLY,502.0,2024-05-21,2024-05-22,1.5,None
The North Sydney Hotel,629.0,2024-05-21,2024-05-22,4.4,2.9 km da praia
Bridgeview Hotel Willoughby,425.0,2024-05-21,2024-05-22,7.1,None
Coogee Sands Hotel & Apartments,786.0,2024-05-21,2024-05-22,7,Beira-mar
Manly Pacific Sydney MGallery Collection,1.221,2024-05-21,2024-05-22,11,Beira-mar
The Bexley Motel,441.0,2024-05-21,2024-05-22,11.6,None
North Ryde Guesthouse,375.0,2024-05-21,2024-05-22,12.4,None
Mad Monkey Coogee Beach,197.0,2024-05-21,2024-05-22,7.1,Beira-mar
The North Shore Hotel,557.0,2024-05-21,2024-05-22,4.5,2.9 km da praia
The Albert Mosman,1.051,2024-05-21,2024-05-22,5.9,1.1 km da praia
Hotel Palisade,1.19,2024-05-21,2024-05-22,1.5,None
Holiday Inn Parramatta an IHG Hotel,1.041,2024-05-21,2024-05-22,19.6,None
Adina Apartment Hotel Bondi Beach Sydney,1.009,2024-05-21,2024-05-22,6.1,400
Markets Hotel,598.0,2024-05-21,2024-05-22,12.7,None
Comfort Inn & Suites Burwood,575.0,2024-05-21,2024-05-22,10.3,None
Ultimate Apartments Bondi Beach,537.0,2024-05-21,2024-05-22,5.8,750
The Clovelly Hotel,714.0,2024-05-21,2024-05-22,7,50
Bondi 38 Serviced Apartments,1.386,2024-05-21,2024-05-22,6.4,Beira-mar
Horse and Jockey Hotel Homebush,507.0,2024-05-21,2024-05-22,11.4,None
Parramatta City Motel,568.0,2024-05-21,2024-05-22,20.1,None
Dive Hotel,847.0,2024-05-21,2024-05-22,7.2,Beira-mar
Royal Pacific Hotel,643.0,2024-05-21,2024-05-22,7.4,None
Shared Beachfront Living,465.0,2024-05-21,2024-05-22,11.2,50
Miss Baker's Boutique Accommodation Bondi,833.0,2024-05-21,2024-05-22,6.5,250
Avonmore On The Park Boutique Hotel,799.0,2024-05-21,2024-05-22,5.5,1.8 km da praia
Coogee Bay Boutique Hotel,1.017,2024-05-21,2024-05-22,7.1,Beira-mar
Coogee Bay Hotel,847.0,2024-05-21,2024-05-22,7.1,Beira-mar
Holiday Inn & Suites - Parramatta Marsden Street an IHG Hotel,949.0,2024-05-21,2024-05-22,20.1,None
Southend Hotel,646.0,2024-05-21,2024-05-22,9.8,550
Hotel Ravesis,1.156,2024-05-21,2024-05-22,6.4,Beira-mar
Meriton Suites Mascot Central,609.0,2024-05-21,2024-05-22,6.3,None
The Select Inn Ryde,544.0,2024-05-21,2024-05-22,14.4,None
Tempe Hotel Sydney,395.0,2024-05-21,2024-05-22,7.4,None
Discover The Rocks - Historical Terrace House,1.245,2024-05-21,2024-05-22,1.2,None
Quest St Leonards,1.255,2024-05-21,2024-05-22,5.4,None
Bondi Beach House,1.03,2024-05-21,2024-05-22,6.3,Beira-mar
Little Coogee Hotel,680.0,2024-05-21,2024-05-22,6.5,400
Ballantyne at Mosman - Serviced Apartments,680.0,2024-05-21,2024-05-22,5.1,850
Sydney CBD Hyde Park Apartments,602.0,2024-05-21,2024-05-22,0.8,None
SKYE Suites Green Square,1.887,2024-05-21,2024-05-22,4,None
Veriu Camperdown,1.02,2024-05-21,2024-05-22,3.1,None
PARKROYAL Parramatta,1.306,2024-05-21,2024-05-22,19.9,None
175 Hotel Westmead,738.0,2024-05-21,2024-05-22,21.5,None
Meriton Suites Kent Street Sydney,867.0,2024-05-21,2024-05-22,0.7,None
Punthill Parramatta,983.0,2024-05-21,2024-05-22,20,None
Manly Paradise Motel & Apartments,816.0,2024-05-21,2024-05-22,11,Beira-mar
Nightcap at the Ranch Hotel,579.0,2024-05-21,2024-05-22,13.2,None
Strathfield Executive Accommodation,691.0,2024-05-21,2024-05-22,10.7,None
SKYE Hotel Suites Parramatta,1.882,2024-05-21,2024-05-22,20.2,None
Ryde Inn,564.0,2024-05-21,2024-05-22,12.2,None
Kirketon Hotel Sydney,520.0,2024-05-21,2024-05-22,1.3,None
Watsons Bay Boutique Hotel,1.997,2024-05-21,2024-05-22,7.5,Beira-mar
Veriu Randwick,983.0,2024-05-21,2024-05-22,5.7,1.7 km da praia
Coogee Studio Apartments,918.0,2024-05-21,2024-05-22,6.5,350
Quest Manly,1.367,2024-05-21,2024-05-22,10.6,Beira-mar
Establishment Hotel,3.397,2024-05-21,2024-05-22,0.7,None
Premier Leichhardt Stayz,174.0,2024-05-21,2024-05-22,4.8,None
The Village Surry Hills,133.0,2024-05-21,2024-05-22,2.2,None
Summer House Newtown,110.0,2024-05-21,2024-05-22,3.6,None
Sydney RiseOn Hotel,435.0,2024-05-21,2024-05-22,1.7,None
Sydney Central Inn,150.0,2024-05-21,2024-05-22,1,None
PodBed Sydney,95.0,2024-05-21,2024-05-22,1.5,2.7 km da praia
Best location in Manly Harbour view,1.546,2024-05-21,2024-05-22,10.5,Beira-mar
Sydney Boutique Hotel,478.0,2024-05-21,2024-05-22,1.3,None
Churchill’s Rest,2.21,2024-05-21,2024-05-22,4.6,2 km da praia
Three Rooms Sydney,1.598,2024-05-21,2024-05-22,1.5,2.6 km da praia
Meriton Suites Bondi Junction,646.0,2024-05-21,2024-05-22,4.4,2.1 km da praia
Eastwood Central Walk to Station & Shops Drive to Olympic,2.617,2024-05-21,2024-05-22,14.3,None
Luxury Loft 3 Bed 2 Bath Sleeps 6 Pool BBQ No parties,3.094,2024-05-21,2024-05-22,14,None
Sydney Central Hotel Managed by The Ascott Limited,922.0,2024-05-21,2024-05-22,1.4,None
Meriton Suites Waterloo,646.0,2024-05-21,2024-05-22,3.1,None
Nomads Sydney,161.0,2024-05-21,2024-05-22,500 m do centro,None
The Resch House,474.0,2024-05-21,2024-05-22,0.7,None
Mad Monkey Bayswater,126.0,2024-05-21,2024-05-22,1.6,2.8 km da praia
Citadines Walker North Sydney,782.0,2024-05-21,2024-05-22,3.6,2.7 km da praia
Wynyard Hotel,371.0,2024-05-21,2024-05-22,0.6,None
Meriton Suites World Tower Sydney,1.258,2024-05-21,2024-05-22,0.7,None
Original Backpackers,123.0,2024-05-21,2024-05-22,1.3,2.9 km da praia
Cozy Lindfield Stayz,153.0,2024-05-21,2024-05-22,11,None
Meriton Suites Coward Street Mascot,646.0,2024-05-21,2024-05-22,6.3,None
Terminus Hotel Pyrmont,473.0,2024-05-21,2024-05-22,1.5,None
Meriton Suites Zetland,714.0,2024-05-21,2024-05-22,4.2,None
ibis Budget Sydney Olympic Park,517.0,2024-05-21,2024-05-22,13.7,None
Gaslight Inn - Adults Only,415.0,2024-05-21,2024-05-22,1.2,None
Four Points by Sheraton Sydney Central Park,983.0,2024-05-21,2024-05-22,1.8,None
Sydney Harbour Marriott Hotel at Circular Quay,1.323,2024-05-21,2024-05-22,0.9,None
Mantra Sydney Central,711.0,2024-05-21,2024-05-22,1,None
BreakFree on Broadway Sydney an Accor Hotel,605.0,2024-05-21,2024-05-22,2.1,None
Pier One Sydney Harbour Autograph Collection,1.527,2024-05-21,2024-05-22,1.8,None
Lord Wolseley Hotel,476.0,2024-05-21,2024-05-22,1.3,None
